,galaxy_id,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,is_AGN
216,8147-12705,0.410991815056,0.410991815056,30.2261063654,30.2261063654,226.803072536,226.803072536,1.04964539007,1.0
217,8149-1901,1.06554630806,1.06554630806,29.1051559388,29.1051559388,229.107565831,229.107565831,1.19181034483,1.0
218,8241-12702,1.04272278245,1.04272278245,-18.0335462766,-18.0335462766,217.217252401,217.217252401,1.24,1.0
219,8244-1902,1.3125202844,1.3125202844,16.8761232529,16.8761232529,202.77555911,202.77555911,1.1171875,1.0
220,8254-6103,0.686891398554,0.686891398554,46.2207836391,46.2207836391,226.680919556,226.680919556,1.36090225564,1.0
221,8255-3704,0.32949913597,0.32949913597,26.9701810939,26.9701810939,299.192403272,299.192403272,1.18148148148,1.0
222,8255-6101,3.44119878634,3.44119878634,-0.703390654233,-0.703390654233,460.701587148,460.701587148,1.37419354839,1.0
223,8258-12704,0.392193165796,0.392193165796,18.3238447519,18.3238447519,266.420026752,266.420026752,1.20367877972,1.0
224,8262-12705,1.48049584195,1.48049584195,55.5743485231,55.5743485231,293.424381558,293.424381558,1.18522372529,1.0
225,8262-9101,1.64874219657,1.64874219657,21.9211414373,21.9211414373,314.920246351,314.920246351,1.27643784787,1.0
226,8312-6102,0.804901552278,0.804901552278,31.1113191966,31.1113191966,342.547186355,342.547186355,1.17955112219,1.0
227,8313-12704,1.19652692642,1.19652692642,5.0050097857,5.0050097857,305.964894046,305.964894046,1.23372781065,1.0
228,8313-12705,0.554938656829,0.554938656829,10.1783093496,10.1783093496,258.845306974,258.845306974,1.15427927928,1.0
229,8317-12704,0.670893507149,0.670893507149,10.6451202156,10.6451202156,330.455068753,330.455068753,1.19347037485,1.0
230,8318-6102,1.4164603634,1.4164603634,107.245074599,107.245074599,539.218500411,539.218500411,1.98090277778,1.0
231,8329-3701,1.11909640725,1.11909640725,21.8308425143,21.8308425143,483.72000773,483.72000773,1.53691275168,1.0
232,8332-12702,2.69162762686,2.69162762686,40.6152000624,40.6152000624,285.607544065,285.607544065,1.47619047619,1.0
233,8332-6104,0.404473318806,0.404473318806,-28.8423314832,-28.8423314832,282.615096957,282.615096957,1.19585253456,1.0
